Unique Key,CreatedDate,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32305206,12/31/15 12:01,12/31/15 15:21,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,350 SNEDIKER AVENUE,SNEDIKER AVENUE,BLAKE AVENUE,DUMONT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/31/15 20:01,The Police Department responded to the complaint and determined that police action was not necessary.,12/31/15 15:21,05 BROOKLYN,BROOKLYN,1011921,182096,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66644495,-73.90025605,"(40.6664449457147, -73.90025604763512)"
32309439,12/31/15 12:05,1/4/16 10:39,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10312,70 RAMONA AVENUE,RAMONA AVENUE,HEENAN AVE,DELMAR AVE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,1/4/16 10:39,03 STATEN ISLAND,STATEN ISLAND,931912,136483,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.54113541,-74.18830591,"(40.541135407737606, -74.18830591469624)"
32307940,12/31/15 12:09,12/31/15 13:07,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,429 WEST 125 STREET,WEST 125 STREET,BEND,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 20:09,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,12/31/15 13:07,09 MANHATTAN,MANHATTAN,996644,235184,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81219284,-73.95522628,"(40.81219283901688, -73.95522628306627)"
32305612,12/31/15 12:14,1/15/16 16:56,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10004,85 BROAD STREET,BROAD STREET,SOUTH WILLIAM STREET,STONE STREET,,,ADDRESS,NEW YORK,,N/A,Closed,1/10/16 12:14,The New York City Economic Development Corporation determined that the helicopter tour operator was operating within the limits of the New York City Helicopter Sightseeing Plan which establishes specific routing for tour flights.,1/15/16 16:56,01 MANHATTAN,MANHATTAN,981045,195841,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70421449,-74.01155941,"(40.70421448871553, -74.01155940947392)"
32305919,12/31/15 12:17,1/1/16 0:15,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10460,900 BRONX PARK SOUTH,BRONX PARK SOUTH,HONEYWELL AVENUE,DALY AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 20:17,The Police Department responded to the complaint and took action to fix the condition.,1/1/16 0:15,06 BRONX,BRONX,1017180,247713,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84652865,-73.8809779,"(40.84652864759396, -73.88097789789056)"
32307234,12/31/15 12:27,12/31/15 15:30,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10001,,,,,WEST   32 STREET,AVENUE OF AMERICAS,INTERSECTION,NEW YORK,,Precinct,Closed,12/31/15 20:27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 15:30,05 MANHATTAN,MANHATTAN,987377,211980,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74851214,-73.98871441,"(40.748512144431906, -73.98871441231115)"
32309585,12/31/15 12:36,12/31/15 13:08,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10472,1207 BEACH AVENUE,BEACH AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 20:36,The Police Department responded to the complaint and determined that police action was not necessary.,12/31/15 13:08,09 BRONX,BRONX,1021327,241829,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83036236,-73.86602154,"(40.83036235589997, -73.86602154214397)"
32308140,12/31/15 12:38,12/31/15 23:22,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10461,1404 EDWARDS AVENUE,EDWARDS AVENUE,LATTING STREET,ELLISON AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 20:38,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 23:22,10 BRONX,BRONX,1029425,244782,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83842977,-73.83673944,"(40.838429767038484, -73.8367394362446)"
32308698,12/31/15 12:41,12/31/15 14:57,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11218,415 OCEAN PARKWAY,OCEAN PARKWAY,AVENUE C,CORTELYOU ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/31/15 20:41,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 14:57,12 BROOKLYN,BROOKLYN,991674,172056,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63892746,-73.9732502,"(40.63892746412587, -73.97325020454049)"
32309648,12/31/15 12:46,12/31/15 15:13,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,620 WEST 141 STREET,WEST 141 STREET,BROADWAY,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 20:46,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 15:13,09 MANHATTAN,MANHATTAN,997264,239545,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82416166,-73.95297806,"(40.82416166479311, -73.95297805704422)"
